value_1,value_2,value_3,value_4,value_5,value_6,x,y
-32.58868573,-81.94255938,-84.92715285,-73.04636067,-77.82368371,-84.36824288,0.413732876,0.257638788
-29.73345063,-68.37567106,-86.55677272,-77.71225955,-86.60150863,-86.01430436,0.993621689,0.45492146
-37.14057339,-77.66371448,-75.49468164,-77.14396848,-78.62860981,-78.16949146,0.427370021,0.107628539
-36.90267123,-81.74131185,-86.51348205,-76.40357717,-80.78588887,-86.20670887,0.772565495,0.507999499
-37.03696651,-81.75036658,-83.19850907,-79.70787538,-75.63802779,-86.62740495,0.789661077,0.445272813
-30.30260062,-81.05366824,-86.79903514,-70.82918173,-87.66270494,-86.380598,0.955750153,0.711176599
-39.18986748,-82.13445961,-86.48780085,-70.00141916,-86.8168296,-86.89735521,0.972178105,0.871297712
-34.46195536,-82.15185834,-86.67121898,-69.35823352,-84.3605439,-86.87960229,0.826558978,0.709552277
-29.1851476,-77.0095045,-86.79984828,-69.32241638,-87.69997525,-86.89989186,0.927565001,0.681972529
-41.46951155,-81.4472711,-84.9591397,-78.3077904,-78.82775511,-79.51183622,0.740286435,0.455305902
-47.89532846,-77.21195036,-86.64124025,-70.08011357,-79.23095642,-81.14912205,0.649454311,0.889916263
-40.51191338,-81.76779782,-85.07639018,-74.88380897,-80.86857095,-86.50730793,0.793456795,0.598085585
-29.22506369,-76.23993688,-86.74595612,-66.85545494,-86.7196202,-85.85087527,0.878610466,0.694719346
-35.28679619,-81.12323952,-86.79127709,-69.78333063,-87.69647231,-86.84199052,0.956844171,0.79081174
-30.91272138,-70.92585204,-86.79428928,-61.55209886,-87.69736592,-86.76545101,0.977585157,0.899290312
-40.47827607,-76.15159123,-83.45179234,-77.89081147,-67.3523154,-85.71614482,0.854927789,0.670827627
-36.95527186,-82.1954224,-85.34689766,-65.88709859,-87.68067058,-86.89855755,0.979343988,0.957784979
-29.14209565,-78.76561926,-86.79984146,-64.77839528,-87.69998075,-86.8998607,0.959203692,0.855791742
-31.87231959,-78.6580397,-86.35594797,-84.89562166,-77.64268827,-83.03758799,0.997945207,0.479325892
-50.51892606,-78.70698813,-80.3943814,-72.63649159,-77.68905689,-86.5740399,0.860990178,0.98053961
-34.10789582,-82.00327393,-86.36416459,-82.40753347,-72.10215671,-86.23690496,0.965711796,0.602946418
-39.89131976,-79.96108267,-86.16730155,-74.65739563,-87.18786653,-82.50665742,0.996242569,0.673595336
-29.22783623,-82.18562001,-82.31417068,-64.18883587,-79.15876941,-86.8516826,0.778083565,0.725829609
-38.34173873,-82.02914817,-85.94681317,-75.87316197,-83.06016867,-84.11659723,0.821406784,0.539200906
-31.50284177,-75.72101589,-86.28230013,-76.05277769,-85.17844519,-86.04044803,0.849303654,0.451862037
-29.13239529,-78.52255716,-86.79915447,-69.10905563,-87.69994501,-86.89987353,0.93851522,0.712341362
-34.36865202,-81.75370448,-85.00051601,-74.56923226,-85.56757561,-85.88661387,0.885488776,0.561909738
-30.2967416,-82.19546525,-86.78690284,-80.93517898,-78.1533521,-86.89020712,0.925621849,0.539242727
-29.27886012,-69.07697804,-86.77124013,-71.8782051,-87.40447842,-83.01355026,0.890220669,0.482005026
-41.27387826,-81.45136996,-85.56587228,-75.97847624,-77.79011293,-84.22514368,0.679801416,0.517042838
-43.26044807,-73.35466302,-86.22069253,-65.83010303,-86.43737489,-76.61093173,0.983160844,0.940531642
-44.79631455,-79.00165391,-81.2846078,-74.02077646,-73.26660733,-86.31418861,0.69090891,0.701091657
-32.21468931,-82.17982043,-86.78064833,-74.31847396,-85.15360289,-86.8379546,0.907215809,0.618193497
-30.2129552,-72.89142682,-86.75416933,-66.2550949,-87.69335843,-86.8708413,0.924722681,0.724716557
-37.68402624,-80.5530414,-86.15461522,-64.71872683,-86.68467464,-79.86734908,0.911125049,0.914465903
-29.33354544,-76.42347243,-86.79168451,-65.56809831,-87.69981853,-86.89874817,0.9375615,0.789561598
-41.73834903,-78.80721516,-86.1287789,-69.33749708,-87.4900448,-86.5928632,0.984350172,0.902679999
-31.99867469,-80.98050787,-86.76216946,-71.37177323,-87.67067317,-85.00607585,0.933959506,0.676972485
-29.19577567,-81.15480842,-85.63288546,-70.75700406,-86.72766542,-86.7578777,0.926724258,0.669413709
-36.87857201,-77.47837479,-86.48574669,-70.96363761,-87.41410189,-81.12368586,0.871831509,0.616172358
-29.58987123,-75.75586358,-85.85236807,-71.76236954,-87.69077934,-86.8200404,0.923744126,0.589831579
-33.79194282,-82.0474704,-86.59166949,-73.50457332,-74.68945631,-86.5488878,0.569308857,0.435304604
-45.49677916,-63.98351352,-85.08925039,-63.35977991,-75.69284032,-84.85826991,0.895602983,0.972499542
-35.24661202,-81.54649041,-86.38341398,-73.57191415,-82.09258259,-85.71940362,0.702406723,0.488781634
-39.54995182,-81.75240419,-85.13755797,-77.44129863,-71.19939981,-85.40164549,0.752206431,0.58804086
-38.57157019,-77.94864288,-86.37056401,-72.07728109,-87.60868704,-86.7191479,0.968091732,0.722111266
-43.09743267,-79.54623637,-82.00482348,-73.19888393,-80.45066224,-74.51141577,0.67435426,0.517263032
-29.51703741,-77.84522571,-86.7945143,-62.38425248,-87.69984327,-86.89456196,0.973068897,0.936587087
-31.64044929,-82.1981796,-86.79054577,-68.76240994,-87.58603064,-86.63837818,0.961914828,0.79742619
-29.13439886,-79.21778677,-86.79180725,-73.55100551,-87.69994501,-86.89881598,0.974583292,0.642141003
-42.21333147,-81.83277228,-85.02054956,-75.49042553,-79.69835863,-82.96219034,0.721234051,0.551845307
-33.35425914,-70.16109548,-84.39151449,-73.79798884,-86.93174756,-83.83075806,0.881771224,0.415006209
-45.79422036,-80.35322123,-79.29382318,-73.45391272,-73.90991691,-72.47876009,0.761709262,0.771217217
-44.67719416,-80.68766841,-86.21760703,-70.67402384,-85.56698858,-85.98687404,0.980901653,0.966418146
-37.98502658,-81.76470372,-85.51064705,-75.45077029,-73.15679256,-85.03467737,0.56570743,0.437374111
-30.22413001,-82.19861697,-86.79890218,-62.9733106,-87.10408737,-86.89932368,0.987052166,0.988748531
-29.14806402,-82.19865982,-86.79977157,-72.07999416,-87.69993401,-86.85757335,0.99831265,0.727660933
-36.58743076,-82.17959288,-86.39122829,-78.09523515,-83.44161132,-86.72485904,0.958834382,0.60035608
-50.19964672,-81.05267086,-85.70876133,-73.8919878,-79.5279765,-80.69229148,0.900169299,0.995863991
-45.5321061,-77.87802989,-84.58402205,-77.92832763,-69.34137074,-85.852512,0.947389968,0.871642678
-37.24345362,-82.04753689,-85.92177293,-81.19043546,-71.79032886,-86.17356008,0.932574246,0.61983119
-36.71178935,-81.47548586,-86.04291011,-78.9364942,-70.55329804,-84.07753202,0.747773571,0.512737582
-41.96242377,-79.94104347,-76.54545431,-69.88465756,-65.56519754,-78.73439928,0.867982347,0.950632366
-37.41670201,-82.19546673,-86.39984381,-71.82460566,-85.51228466,-86.55417738,0.90245542,0.72423883
-34.25345763,-81.97617328,-81.83746867,-72.78125256,-70.09043123,-85.10675391,0.518093216,0.398788489
-38.41477713,-81.95328675,-86.79276017,-66.26084056,-86.73572164,-86.75361634,0.947201371,0.979808573
-33.94485926,-76.87053039,-75.54245396,-79.80004713,-81.26523105,-82.64746557,0.87734349,0.262676439
-31.25983899,-82.18655533,-86.75826571,-79.54245833,-76.4358834,-86.86924673,0.831812267,0.499821657
-34.82751423,-82.18262491,-86.74161938,-63.66346798,-84.22712414,-86.86202716,0.872122193,0.956954849
-37.5533924,-82.13637458,-85.92130926,-76.95028611,-81.34123171,-86.85638567,0.846609497,0.554156564
-31.00911472,-82.17031947,-86.37973526,-80.90533327,-79.2181517,-86.78059212,0.928671718,0.527819157
-39.36208234,-82.14452945,-86.08893,-65.31297385,-83.97024354,-86.10524269,0.843708954,0.964864837
-37.60191536,-82.05722403,-86.51920811,-64.69951912,-83.18295312,-86.58029173,0.820637378,0.939181852
-42.39363114,-71.16340418,-83.99817708,-66.54309575,-87.45306044,-85.37017558,0.998773544,0.85921107
-35.21584601,-74.95016719,-86.79959599,-74.61095005,-87.65923636,-86.61319859,0.968297149,0.584813696
-30.42230303,-64.95289687,-86.73943567,-66.14377857,-86.41016797,-78.3329004,0.935909712,0.584764289
-30.90046366,-81.57986494,-86.77700881,-73.93081458,-87.53547307,-86.81184759,0.993627921,0.678934314
-29.27308928,-77.44715903,-86.75754122,-64.44523842,-87.69943771,-86.89583212,0.951946672,0.8457893
-42.48806677,-82.13293621,-81.39715844,-69.50644227,-83.86027892,-85.92246794,0.878959893,0.809467933
-33.50626904,-82.19605186,-86.77325678,-70.82619697,-84.54526774,-86.8895473,0.839321345,0.665768878
-30.36428431,-74.3598486,-86.30662268,-65.84552621,-87.67296218,-86.72204746,0.920789604,0.742969629
-45.7002186,-81.97607133,-85.6936731,-76.21323736,-79.25291854,-86.32331983,0.956960321,0.829395962
-46.69803974,-70.54766054,-86.7515782,-71.48269541,-83.24938667,-82.43244561,0.924256554,0.760090312
-32.80088018,-81.82194887,-85.94603412,-80.16362369,-77.71193325,-86.7338528,0.840516902,0.474301437
-31.09804055,-82.19977688,-86.7993829,-65.5657832,-87.69975254,-79.12367494,0.990179701,0.861396431
-32.37111552,-82.18286872,-86.69441473,-82.97250877,-75.14788807,-86.84646816,0.993877388,0.589230201
-35.98425192,-82.16276746,-85.17935193,-80.83553575,-76.55034905,-86.55713376,0.875214673,0.505137754
-30.70081265,-82.19369213,-86.77604736,-79.86475142,-78.89106653,-86.88830646,0.886274501,0.519691687
-42.40343026,-79.13402906,-83.64243836,-79.49244634,-83.12790001,-79.52828416,0.997216616,0.524926455
-43.46097387,-79.56583672,-82.17046508,-75.10866106,-85.3457478,-84.10075963,0.999706764,0.658550907
-30.77012612,-81.96068952,-86.06582971,-71.42271317,-87.58933287,-86.82252573,0.9706271,0.711306739
-29.62879612,-73.41337247,-86.79590021,-65.41902092,-87.69032841,-86.87606674,0.932998908,0.758711707
-33.70958854,-81.8182726,-76.28598301,-73.11753002,-65.61126783,-77.70884491,0.896488611,0.644551913
-32.60960323,-81.7665788,-86.78620563,-68.84910963,-87.67077353,-85.47010217,0.942322004,0.772990034
-29.13822256,-82.19940453,-86.72948197,-66.55041416,-87.68621507,-86.83157448,0.986593434,0.862346118
-37.49133833,-80.28686373,-86.61184453,-68.4424817,-87.58128627,-84.04801958,0.91939323,0.804864697
-35.88366803,-82.00454319,-86.33392504,-78.93718682,-71.94293506,-86.0786903,0.786936053,0.537014682
-33.13112974,-82.09577459,-86.61896503,-79.76335943,-74.69586691,-86.7404382,0.817463681,0.503286186
-30.63623649,-76.02478367,-86.12510017,-70.35777298,-78.35263487,-83.18719012,0.392180577,0.252926004
-29.2544646,-76.30059972,-86.75549899,-67.98545338,-87.69736592,-86.8884036,0.924644569,0.707228622
-32.43310257,-82.18022529,-86.73750596,-72.63601518,-87.56110449,-86.75080476,0.983366635,0.714863006
-39.11438105,-81.88533344,-86.17354413,-69.63711363,-81.73565229,-85.35286438,0.703979815,0.68157019
-34.05696718,-81.96048118,-85.74813803,-80.67739693,-69.99567307,-86.82877389,0.922384017,0.618672318
-33.39554386,-82.08834227,-86.64284096,-72.60952159,-87.64526034,-86.75435131,0.985477419,0.72085583
-36.90851614,-82.14475405,-81.00266525,-71.35661791,-69.21802812,-83.09458024,0.530200475,0.492250046
-49.75385707,-79.03076557,-78.72919993,-72.92451158,-75.38940962,-82.6700187,0.593450914,0.883906608
-39.02557869,-74.72541106,-85.85484158,-62.8175902,-85.62148628,-76.15735995,0.92564021,0.9336029
-41.30725455,-75.10127977,-85.12099518,-75.60571771,-85.83838275,-80.17352914,0.941259802,0.532732165
-41.55748851,-81.56464862,-85.18309202,-77.38490958,-79.74331947,-85.61644551,0.846712221,0.586963314
-39.65799264,-77.77778366,-86.4557816,-70.74430351,-87.41290308,-86.27952222,0.950314925,0.768600483
-29.51832139,-78.53141093,-86.79995738,-68.21480174,-87.69850561,-86.89635448,0.935992046,0.736603241
-39.44463415,-81.64854818,-79.99081413,-69.15426329,-67.72000336,-80.48042035,0.64143671,0.729295764
-35.12779851,-80.94149187,-86.61851329,-71.28645113,-87.63468415,-86.84393517,0.959748851,0.739688791
-40.39640857,-80.01059554,-86.27556489,-71.69329143,-82.43478898,-86.43344069,0.761856269,0.666455794
-31.16288127,-79.39874538,-86.64651798,-76.51098843,-77.16506731,-86.48808324,0.623429669,0.356962261
-39.18548644,-82.08037357,-86.16189767,-69.11901631,-81.03826431,-86.68539793,0.724635098,0.738108415
-41.09230167,-78.86520354,-86.65953842,-69.09072613,-87.31042965,-82.36730638,0.93265123,0.840087311
-36.48782749,-71.49717314,-86.05511742,-74.97972124,-84.40305213,-85.37344171,0.816786571,0.420389033
-42.87003864,-81.86561045,-85.43981706,-70.55357721,-68.42428724,-84.18386623,0.741980602,0.968810812
-29.20034013,-80.34898791,-86.77924025,-78.90448645,-81.80443534,-86.62092035,0.890616233,0.501295891
-34.52709943,-81.78821824,-86.53002439,-74.65513218,-87.1747085,-86.78498728,0.996827531,0.681148568
-35.2724573,-80.74134663,-86.25303055,-64.85833716,-86.77685647,-86.73781174,0.92051171,0.919045126
-37.10553217,-82.16528381,-83.82105267,-79.73443019,-78.54960251,-86.21898159,0.836938498,0.462151435
-37.75299402,-79.68390133,-77.37170529,-67.12061853,-76.27693533,-77.81968241,0.376948339,0.351075165
-39.9404847,-75.43472957,-86.79897037,-71.34592443,-87.69609837,-86.36810168,0.975561508,0.743527551
-32.86857104,-81.41901054,-86.64466839,-71.91274799,-87.61344928,-86.37190666,0.958335916,0.702329591
-35.24841099,-81.64546738,-82.56878531,-73.14004011,-67.81831808,-83.44069795,0.592516012,0.495567885
-41.50654928,-82.07615798,-85.76087379,-67.62319509,-83.9196131,-86.07874895,0.851997568,0.930560321
-48.30386521,-68.94527371,-86.45689306,-61.45847491,-72.32728537,-82.09017687,0.63903897,1.245291246
-55.55411378,-77.20310841,-85.60088837,-64.12019399,-81.99520134,-84.75345696,0.81341013,1.789220921
-63.51923992,-77.50578129,-73.08487159,-73.86452225,-76.02761602,-78.09619425,0.364332885,1.0004884
-62.71903447,-76.67734169,-72.69922234,-63.56855063,-76.13442277,-82.7262998,0.895659509,1.90146264
-33.16986063,-82.11013833,-86.58059921,-65.88062204,-62.67138361,-86.79979482,0.969628745,1.165371979
-39.70754912,-79.32013119,-86.74959223,-62.54636333,-86.84834371,-79.25501462,0.957376975,1.088816431
-55.26052098,-77.82238646,-86.41870794,-62.83402744,-80.50257535,-86.27619194,0.785963176,1.894973165
-37.97326622,-82.18003764,-86.75629168,-60.68069946,-87.09507431,-86.63049329,0.996370827,1.236244914
-58.8969841,-74.59549168,-76.43694209,-74.5371805,-66.79050146,-78.28516034,0.952958525,1.906206046
-34.77832812,-82.19986111,-86.79502912,-64.26247149,-87.66459114,-86.5043992,0.978365129,1.000917084
-52.01387468,-75.94426486,-86.45215743,-64.40819293,-81.85204676,-86.66997823,0.842580717,1.506528503
-61.47660381,-75.38370808,-72.87342149,-63.02119308,-75.6511652,-83.29877176,0.907470829,1.841008536
-57.76052191,-74.24139834,-81.81592135,-67.57319458,-79.0542283,-80.69542014,0.704333885,1.416677437
-63.04011984,-72.23435178,-74.75516543,-69.22621137,-77.67773419,-74.9812577,0.294127315,1.069768762
-54.62937689,-71.89273677,-85.18869705,-63.03413852,-78.85470494,-85.58684509,0.776812334,1.604492982
-52.22983286,-75.48580574,-73.22383133,-70.71110377,-78.71246596,-73.50161835,0.795159137,1.021964953
-51.50240126,-82.01651469,-78.91991245,-67.94830074,-81.25100344,-84.90218666,0.948704928,1.290517533
-46.13763066,-80.59060788,-85.67578405,-65.86003866,-71.8603822,-85.6781115,0.682129268,1.22899269
-53.58792177,-81.16321449,-80.79968406,-68.71691527,-81.85436464,-78.52392844,0.88689094,1.337845667
-42.78196292,-82.12707605,-86.78086312,-54.66749423,-74.43010385,-86.72186051,0.866177926,1.760098326
-54.00600367,-75.33688739,-80.34333097,-66.83934488,-74.26345013,-77.35057546,0.192060737,1.124310093
-39.76352901,-82.16626346,-86.79010596,-50.27308242,-75.69173912,-86.79228199,0.95435054,1.869096577
-38.9139258,-81.54597472,-86.06573765,-60.35603004,-83.69883424,-86.09691609,0.886156928,1.199647483
-55.07594257,-76.4475765,-86.67217702,-63.49004947,-78.44297724,-85.90253761,0.729576393,1.794788734
-50.96407725,-80.39635678,-80.33464385,-63.27654905,-69.41103364,-73.19756989,0.840441582,1.586915736
-53.76138534,-80.12213211,-80.49410423,-72.47291132,-80.47413525,-81.93545012,0.90323318,1.116778378
-60.15046964,-73.85549968,-78.24055825,-64.65773245,-79.08885629,-78.25925494,0.546050457,1.687956795
-56.6738208,-71.27662521,-77.46081811,-64.43355384,-79.08041238,-76.68514354,0.714167068,1.27211681
-61.68100975,-77.4103476,-75.01185297,-75.63246195,-73.56613914,-77.09674689,0.391846262,1.063217037
-62.52912968,-71.19855774,-79.63749437,-66.04572914,-78.72732047,-81.7817021,0.992123207,1.772474836
-40.37388258,-81.97324911,-86.21932366,-64.3000374,-81.06420506,-86.40257196,0.772520102,1.015883945
-39.77827355,-82.19794318,-86.79810609,-63.9958289,-82.83714205,-86.85900847,0.840829602,1.062928695
-53.30999417,-73.25762908,-77.70778378,-66.10471646,-81.9075563,-76.55755202,0.816722587,1.145475692
-53.5401431,-79.87625371,-86.24719709,-64.60558521,-83.67337467,-84.04355294,0.903811491,1.699178162
-54.15189,-72.7399079,-77.50736475,-61.66905945,-81.08823211,-77.69269573,0.788942327,1.435730934
-57.25038185,-70.72863688,-83.28634167,-67.05574396,-73.90969832,-78.34501916,0.630556362,1.328135727
-51.47663711,-80.89386294,-85.06133775,-73.70437445,-77.76887668,-82.81555925,0.877341381,1.068646814
-59.8793658,-75.83356905,-80.40798485,-64.39219767,-81.84298695,-84.03840999,0.839831726,1.993377416
-37.74400973,-82.17904026,-86.78816773,-53.91764543,-74.50148523,-86.76844404,0.90757344,1.590579726
-53.31984621,-67.45442789,-81.74458678,-63.21622241,-77.93309979,-74.94066573,0.799753683,1.127548871
-37.05051174,-82.19954638,-86.7989465,-60.09603812,-85.77635812,-86.88280977,0.964180986,1.222615498
-55.36411022,-72.15360394,-80.29563707,-57.87108158,-83.04919929,-78.78364227,0.916901926,1.912255672
-59.59779087,-80.36723183,-75.17299076,-64.57907057,-76.58886354,-84.49998579,0.891471626,1.92053835
-53.81266672,-77.70733912,-82.62404122,-73.53466393,-79.83672898,-79.91740769,0.821866217,1.002239271
-57.36027456,-75.6458253,-81.97085236,-70.9546221,-78.20572576,-83.40568148,0.894154387,1.267514625
-32.15074455,-82.19382068,-86.79057475,-60.34519879,-86.25184267,-86.88387098,0.982919197,1.11092135
-30.59182296,-77.30424711,-86.23822359,-57.29312639,-82.00674125,-84.98008248,0.896040911,1.072615845
-58.17146082,-77.73276269,-76.62231891,-75.06841077,-71.38489215,-79.04829928,0.627061253,1.272718637
-39.86066663,-77.78283704,-80.41312621,-59.60906268,-83.11745855,-84.92547109,0.863953166,1.09002167
-50.63612755,-72.51762084,-77.31182284,-64.52809045,-69.79941756,-72.52445652,0.237896856,1.074726796
-55.62114501,-70.25635926,-78.52161949,-62.59900994,-77.36601494,-79.25132328,0.630936027,1.324821559
-47.99239906,-80.78645626,-80.4957271,-54.85318087,-76.65003855,-85.70793919,0.847935481,1.892102458
-37.72457726,-81.30155323,-86.74528618,-60.89204932,-83.89459895,-86.89953629,0.888331952,1.151785175
-53.32188152,-82.10310348,-85.71983502,-68.3111579,-74.60254677,-86.08987797,0.845263402,1.583591744
-58.29912811,-75.94181944,-73.80161651,-66.72077903,-67.76179258,-75.26248177,0.887772822,1.88168674
-48.34849391,-79.36452123,-80.37014067,-66.7534086,-75.63596837,-75.24668817,0.49426026,1.011468519
-54.66176551,-80.17810948,-86.52698662,-64.39219384,-79.61858146,-86.21014362,0.809343037,1.819319083
-56.40244359,-67.20545687,-83.6389642,-59.72127444,-78.28231482,-83.17691887,0.906909822,1.744319089
